bottom_left,top_right,name,pop_density
"(-1.2211107015609741, 52.58605194091808)","(-1.0631146430969238, 52.685184478759766)",Leicester,4830.0
"(-1.3437659740447998, 52.49745178222662)","(-1.0662314891815186, 52.665176391601676)",Blaby,778.0
"(-1.3443647623061565, 52.65810012817383)","(-0.9574764370917705, 52.81681442260742)",Charnwood,666.0
"(-1.3151175975798424, 52.40274429321295)","(-0.7248481512069134, 52.68487930297857)",Harborough,159.0
"(-1.5658247470855713, 52.50529861450195)","(-1.2165944576263428, 52.71582794189453)",Hinckley and Bosworth,380.0
"(-1.0648741722106934, 52.63533401489269)","(-0.6546798348426819, 52.9723472595216)",Melton,106.0
"(-1.5900403261184124, 52.66609573364258)","(-1.2525527477263836, 52.87623214721691)",North West Leicestershire,371.0
"(-1.1587899923324017, 52.566974639892635)","(-1.0507862567901611, 52.61521530151367)",Oadby and Wigston,2423.0
"(-0.2493771612643627, 52.86106872558605)","(0.18318840861320496, 53.086307525634766)",Boston,192.0
"(-0.32363182306289673, 52.99811553955078)","(0.35638898611080094, 53.52251434326183)",East Lindsey,80.0
"(-0.6256319880485535, 53.187805175781364)","(-0.5023221969604492, 53.26018524169922)",Lincoln,2782.0
"(-0.30659362673753776, 53.43652725219732)","(0.01694300025707207, 53.659030914306754)",North East Lincolnshire,828.0
"(-0.7690902948379517, 52.8831405639649)","(-0.20378014445293502, 53.26661682128906)",North Kesteven,127.0
"(-0.3295186161994934, 52.64537048339855)","(0.2884320020675091, 52.9336509704591)",South Holland,127.0
"(-0.7991563677787781, 52.636520385742244)","(-0.21651402115821838, 53.05618286132824)",South Kesteven,151.0
"(-0.8111100196838379, 52.8404159545899)","(0.24638900160795174, 53.61112976074219)",West Lindsey,83.0
"(-0.5015444159507751, 51.85997772216797)","(-0.34796139597887077, 51.92994689941406)",Luton,4914.0
"(-2.3085622787475018, 53.3422203063966)","(-2.1591219902038006, 53.57091140747082)",Manchester,4781.0
"(0.40441131591808244, 51.32564544677746)","(0.7247220277787392, 51.487640380859375)",Medway,1438.0
"(-1.295771837234497, 54.50129318237316)","(-1.1705948114395142, 54.5898056030274)",Middlesbrough,2616.0
"(-0.8783329725265503, 51.967304229736385)","(-0.585079073905888, 52.192501068115234)",Milton Keynes,873.0
"(-1.7844481468200684, 54.9541282653808)","(-1.5198760032653809, 55.07221984863287)",Newcastle upon Tyne,2669.0
"(0.5336743593215942, 52.359989166259766)","(1.1076756715774536, 52.790554046630916)",Breckland,107.0
"(0.9958276748657795, 52.54135131835943)","(1.6749317646026611, 52.806079864501896)",Broadland,237.0
"(1.553204298019466, 52.51691436767584)","(1.7452780008316608, 52.74847412109381)",Great Yarmouth,570.0
"(0.7161728739739601, 52.6651725769043)","(1.6669986248017494, 52.98069381713873)",North Norfolk,109.0
"(1.2175762653351967, 52.582683563232536)","(1.3538984060288612, 52.66790008544922)",Norwich,3602.0
"(0.9424882531166077, 52.353881835937614)","(1.7024990320206257, 52.66127395629894)",South Norfolk,155.0
"(-0.9480293393135071, 53.45111083984375)","(-0.22861100733274498, 53.71430587768566)",North Lincolnshire,204.0
"(-3.0013890266418457, 51.28638076782232)","(-2.583299160003662, 51.50902938842785)",North Somerset,575.0
"(-1.6328551769256023, 54.98077392578125)","(-1.4036120176315308, 55.070137023925895)",North Tyneside,2526.0
"(-2.5653700828552246, 53.84766006469738)","(-1.8144624233245281, 54.26630783081066)",Craven,49.0
"(-1.702480196952763, 53.98802566528332)","(-0.9890472888946533, 54.505828857421875)",Hambleton,70.0
"(-2.0211596488952637, 53.902462005615234)","(-1.178998112678471, 54.26612472534191)",Harrogate,123.0
